0.0315,0.4641,1.8553,2.0742,0.1982,8.2175,9.4913,5.7013,7.5967,0.5333
0.0701,0.9714,3.325,1.781,0.6607,4.5493,8.169,0.3397,0.0381,7.4193
0.0141,1.0022,3.8159,0.3687,0.7705,4.5516,8.9092,5.1505,7.8841,0.2902
0.0389,0.6536,3.212,0.7182,0.5851,2.5842,8.4586,3.0225,5.1015,1.7899
0.1188,0.4386,1.9079,1.2161,0.9311,5.9336,8.9919,2.4533,2.0347,2.717
0.0143,0.551,1.9248,1.6566,0.257,7.7109,9.3915,2.4774,2.514,3.3841
0.044,0.2008,0.9474,0.6315,0.1311,7.8063,9.6675,3.4063,6.7776,1.0897
0.0135,1.0656,0.0927,2.7332,0.7075,7.4851,8.5248,1.0974,0.5569,7.1877
0.4082,0.2154,1.5156,0.123,0.2438,8.8243,9.4776,0.9436,0.0862,7.4619
0.0764,0.4273,0.6923,1.0582,0.451,8.2129,9.8168,3.8681,6.9553,0.8104
0.0466,0.2171,1.276,0.3052,0.092,7.5514,9.3958,1.2037,1.1411,4.2921
0.0082,1.0214,0.0886,4.7797,0.6201,5.169,8.7085,6.0557,1.3355,6.232
0.0106,1.0012,0.774,3.1728,0.2111,5.2713,8.5435,6.4662,5.9301,0.7642
0.0125,0.7553,0.0942,2.4746,0.1979,1.6929,7.3653,3.6017,0.3838,5.3267
0.0397,0.5811,2.2219,1.138,0.4985,0.1091,8.4029,8.437,9.6749,0.0352
0.0128,8.5281,5.0251,1.4242,8.2301,0.0032,0.0224,0.1633,0.1093,0.114
2.4769,7.9538,5.168,1.5504,6.3584,0.0021,0.0183,0.2495,0.1168,0.1008
0.0151,0.1612,0.2776,0.2078,0.0526,8.187,9.6984,1.2406,0.6223,5.0625
0.666,0.5405,2.2006,0.753,0.1021,0.2512,6.5306,5.6428,6.9341,0.436
0.0126,0.4477,0.0388,1.8262,0.0428,7.7682,9.1766,2.8658,6.1623,1.6615
0.0189,0.3848,1.951,0.101,0.327,6.9194,9.7719,5.6072,0.6321,2.9886
0.0155,0.2232,1.0919,0.3244,0.1857,7.5707,9.7065,1.9184,9.2247,0.0472
0.2012,0.2405,0.7491,1.1173,0.2192,8.2617,9.8415,6.8971,8.5276,0.2783
0.0186,0.8117,2.1402,1.2239,0.5342,5.7182,9.3357,0.5655,0.2649,6.582
0.1717,7.8093,1.0237,6.1004,8.0203,0.0017,0.0238,0.1404,0.1248,0.1035
0.0149,1.0363,1.0926,2.7374,0.018,8.7898,9.7926,8.0887,9.2198,0.1498
